product,Size & Fit,Material & Care,Laptop Compartment,Water Resistance,Material,External Pocket,Number of Zips,Pattern,Number of Compartments,Number of Card Holders
Blue Backpack,,,,,Nylon,3,3 and more,,,
Trail Elite Black Backpack,,,,Yes,Nylon,2,3 and more,,,
Blue Polyester Rucksack,60.96 Cm x 25.4 Cm x 30.48 Cm,,Padded,,Polyester,3,3 and more,,,
Red Polyester Rucksack,16x10x30 Inch,,Padded,,Polyester,3,3 and more,,,
Nk Hps Elt Max Air L Duff Black Duffel Bags,(63.5x2.54x29.21) Cm,,,,Polyester,3,3 and more,,,
Brown Solid Leather Duffel Bag,29 cm x 43cm x 23 cm,"Leather Wipe with a clean, dry cloth when needed",,,Leather,Multiple Pockets,,Solid,,
Tiro Tb S Red Duffel Bags,,,,,Polyester,3,3 and more,,,
Blue Duffel Bags,,,,,Polyester,Zip Pockets,3 and more,Solid,,
Tan Leather Laptop Bag,15.5X2.5X25,,,,Leather,,,,,
Black Polyamide Laptop Briefcase,,,,,Synthetic Leather,,,,,
Brown Leather Laptop Bag,,,Padded,,Leather,,,,,
Multicoloured Fabric Laptop Sleeve,(35.56x21.84x25.4) Cm,,Laptop Sleeve,,Synthetic Leather,1,,,,
Brown Faux Leather Laptop Trolley Bag,L 43 X H 46 X W 23,,Padded,,Synthetic Leather,3,3 and more,,,
Portable White Briefcase,20 x 27 x 11 cm (6l),Wipe with a clean dry cloth,,,Polyester,,,Solid,,
Brown Messenger Bag,,POLYURETHANE (PU),,,PU,1,,Solid,,
Brown Leather Messenger Bag,20 x 23.5 x 6.5 cms,Do not expose to heat,,,Leather,2,,Solid,,
Grey Leather Briefcase,38.1 Cm x W-8.89 Cm x H-30.48 Cm,,Padded,,Leather,3,,Solid,,
Red Abs Strolley,"H-30CM, L-76CM, W-51CM","Wipe with a clean, dry cloth when needed",,Yes,ABS,None,,Solid,,
Navy Blue Hard Luggage 8 Wheel Cabin Strolley,,,,NO,ABS,None,,Solid,,
Magenta Polyester Soft Strolley,,,,Yes,Polyester,Multiple Pockets,,Solid,,
Blue Soft Luggage 8 Wheel Cabin Strolley,,,,Yes,Polyester,Multiple Pockets,,Solid,,
L Isa Y G Precious Gold Cluth Bag,23.09 x W-1.27 x H-12.08 Cm,,,,Synthetic Leather,2,2,,,
Oak Light Orange Small Clutch,22.86 Cm x W-5.08 Cm x H-17.78 Cm,,,,Synthetic Leather,2,1,,,
Hydra Navy Blue Small Clutch,22.86 x 2.54 x 12.7 Cm,,,,Synthetic Leather,2,1,,,
Coffee Brown Tasselled Box Clutch,11 x 18 x 4Cm,"Synthetic Leather,
Wipe with a clean, dry cloth to remove dust",,No,Synthetic Leather,,,Solid,,
Grey Synthetic Leather Handbag,,,,No,Synthetic Leather,1,2,Solid,,
Beige:Navy Blue (Pu) Handbag,,,,,Synthetic Leather,1,2,Solid,,
White Pu Handbag,25x 21 x 12.5Cm,Main 100% PU. Lining 100% Polyester.,,No,PU,,,Solid,,
Emerson Black Handbag,30.48 x 12.7 x 29.21 Cm,,,,Lether,3,3 and More,,,
Black Synthetic Leather Wallet,,Wipe With Dry Cloth,,No,Synthetic Leather,,,Solid,1,2
Emma Maroon Tab Wallet,17.78 x 1.27 x 9.65 Cm,,,,Synthetic,3,1,,2,Multiple
Savio Brown Zipper Wallet,19 x W-3 x H-10 Cms,,,,Synthetic,2,2,,1,
Orange Solid Two Fold Wallet,9.5cm x 12cm,"PU,
Wipe with a clean, dry cloth to remove dust",,No,PU,,1,Solid,1,9
Duke Organiser 2 Black Wallet,4.7 x 0.5 x 3.7 Inch,LEATHER,,No,Leather,1,,Solid,3,9
Waimanu Tan Leather Coin Wallet,11 x 2.5 x 9.5 cms,LEATHER,,No,Leather,,,Solid,1,4
Brown Leather Wallet,11 x 2.5 x 9.5 cms,,,No,Leather,,,Solid,2,4
Unimak Navy Blue Leather Coin Wallet,11 x 2.5 x 9.5 cms,,,No,Leather,,,Solid,1,4
