name,price,Taxon,Option Types,Variant,description
Alara Solid Wood King Size Poster Bed in Honey Oak,"7,624.00","Godrej Interio,Bed,Furniture",,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Ut eget ipsum et arcu ullamcorper pellentesque. Morbi ac felis in odio condimentum molestie eget at risus. Donec nec quam luctus, dignissim massa et, ornare urna.

Aenean tincidunt, metus et pretium cursus, quam felis tincidunt turpis, ut mollis enim enim ut dolor. Nulla placerat leo ac turpis tristique vehicula. Etiam cursus enim lorem, in aliquam est dictum nec. Lorem ipsum dolor sit amet, consectetur adipiscing elit. "
Amarillo Solid Wood King Size Bed in Provincial Teak Finish,"3,249.00","Bed,Furniture",,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Ut eget ipsum et arcu ullamcorper pellentesque. Morbi ac felis in odio condimentum molestie eget at risus. Donec nec quam luctus, dignissim massa et, ornare urna.  Aenean tincidunt, metus et pretium cursus, quam felis tincidunt turpis, ut mollis enim enim ut dolor. Nulla placerat leo ac turpis tristique vehicula. Etiam cursus enim lorem, in aliquam est dictum nec. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed posuere tempor scelerisque. Sed eu odio eget est ultrices sagittis at non nisi."
Amaranto Four Seater Dining Set in Wenge Finish,"1,874.00","Dining,DecorNation,Furniture",,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Ut eget ipsum et arcu ullamcorper pellentesque. Morbi ac felis in odio condimentum molestie eget at risus. Donec nec quam luctus, dignissim massa et, ornare urna.  Aenean tincidunt, metus et pretium cursus, quam felis tincidunt turpis, ut mollis enim enim ut dolor. Nulla placerat leo ac turpis tristique vehicula. Etiam cursus enim lorem, in aliquam est dictum nec. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed posuere tempor scelerisque. Sed eu odio eget est ultrices sagittis at non nisi."
Anne Solid Wood Bar Cabinet in Provincial Teak Finish,"4,749.00","DecorNation,Furniture,Bar Furniture",,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Ut eget ipsum et arcu ullamcorper pellentesque. Morbi ac felis in odio condimentum molestie eget at risus. Donec nec quam luctus, dignissim massa et, ornare urna.  Aenean tincidunt, metus et pretium cursus, quam felis tincidunt turpis, ut mollis enim enim ut dolor. Nulla placerat leo ac turpis tristique vehicula. Etiam cursus enim lorem, in aliquam est dictum nec. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed posuere tempor scelerisque. Sed eu odio eget est ultrices sagittis at non nisi."
Big Solid Wood Pooja Mandir for Home & Office,259,"Decor,DecorNation",,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Ut eget ipsum et arcu ullamcorper pellentesque. Morbi ac felis in odio condimentum molestie eget at risus. Donec nec quam luctus, dignissim massa et, ornare urna.

Aenean tincidunt, metus et pretium cursus, quam felis tincidunt turpis, ut mollis enim enim ut dolor. Nulla placerat leo ac turpis tristique vehicula. Etiam cursus enim lorem, in aliquam est dictum nec. Lorem ipsum dolor sit amet, consectetur adipiscing elit. "
Black Wood 10 x 2 x 8 Inch Acrobat Black Wall Clock,120,"Decor,Wall Art,Godrej Interio",,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Ut eget ipsum et arcu ullamcorper pellentesque. Morbi ac felis in odio condimentum molestie eget at risus. Donec nec quam luctus, dignissim massa et, ornare urna.  Aenean tincidunt, metus et pretium cursus, quam felis tincidunt turpis, ut mollis enim enim ut dolor. Nulla placerat leo ac turpis tristique vehicula. Etiam cursus enim lorem, in aliquam est dictum nec. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed posuere tempor scelerisque. Sed eu odio eget est ultrices sagittis at non nisi."
Blue Polyresin Peacock Wall Art,769,"DecorNation,Wall Art",,,"Phasellus blandit, quam at ultricies viverra, velit velit posuere dui, vel tempor quam lorem ut magna. Proin sollicitudin erat sagittis, aliquet elit eu, bibendum dui. Phasellus ut felis vitae ipsum vestibulum lacinia vitae ac est. Morbi in tellus vitae mauris mattis interdum non eu elit."
Bronx Rectangular Wall Mirror in Solid Wood Frame,624,"Decor,Amberville",,,"Phasellus blandit, quam at ultricies viverra, velit velit posuere dui, vel tempor quam lorem ut magna. Proin sollicitudin erat sagittis, aliquet elit eu, bibendum dui. Phasellus ut felis vitae ipsum vestibulum lacinia vitae ac est. Morbi in tellus vitae mauris mattis interdum non eu elit."
Brown Sheesham Wood Flower Block Key Holder Wall Hanging ,107,"DecorNation,Wall Art",,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Ut eget ipsum et arcu ullamcorper pellentesque. Morbi ac felis in odio condimentum molestie eget at risus. Donec nec quam luctus, dignissim massa et, ornare urna.

Aenean tincidunt, metus et pretium cursus, quam felis tincidunt turpis, ut mollis enim enim ut dolor. Nulla placerat leo ac turpis tristique vehicula. Etiam cursus enim lorem, in aliquam est dictum nec. Lorem ipsum dolor sit amet, consectetur adipiscing elit. "
Cistella Solid Wood Six Seater Dining Table in Dual Tone Finish,147,"Dining,CasaCraft,Furniture",,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Ut eget ipsum et arcu ullamcorper pellentesque. Morbi ac felis in odio condimentum molestie eget at risus. Donec nec quam luctus, dignissim massa et, ornare urna.  Aenean tincidunt, metus et pretium cursus, quam felis tincidunt turpis, ut mollis enim enim ut dolor. Nulla placerat leo ac turpis tristique vehicula. Etiam cursus enim lorem, in aliquam est dictum nec. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed posuere tempor scelerisque. Sed eu odio eget est ultrices sagittis at non nisi."
